						
						
						
Остатки ТМЦ на складах						
На дату: 24.09.14						
По фирме "Босенко Вероника Николаевна(Основной учет)". По всем юр. лицам. По всем упр. аналитикам. По всем номенклатурным позициям. По складу "Петр.99".						
ТМЦ		Ед.	"Отпускная цена
(руб.)"	Петр.99		
				Кол - во	Сумма	
Батарейка Kodak LR 3 (10*Bl) Max (10/1000) *(3510)(3512)		шт	20.00	1.000	20.00	
Батарейка Kodak LR 3 (4*Bl) Max (40/200) *(2819)(2812)		шт	20.00	1.000	20.00	
Батарейка Kodak LR 6 KAA-4/КАА-12		шт	20.00	1.000	20.00	
Батарейка KОСМОС 6F22 б/б (1S) (10/100) 9403		шт	23.00	1.000	23.00	
Батарейка KОСМОС CR 2032 (5*Bl) (5/60/600) 9597		шт	15.00	1.000	15.00	
Батарейка KОСМОС LR 3 (24*Box) (24/480) KOCLR3_24BOX		шт	12.00	3.000	36.00	
Батарейка KОСМОС LR 3 (4*Bl) (48/480) 0127		шт	20.00	14.000	280.00	
Батарейка KОСМОС LR 6 (4*Bl) (48/480) 0130		шт	15.00	12.000	180.00	
Батарейка KОСМОС LR 6 (4*Bl) (48/480) 0130		шт	20.00	18.000	360.00	
Батарейка KОСМОС LR 6 (4*Bl) Rockets Premium (48/576)		шт	22.00	18.000	396.00	
Батарейка KОСМОС LR20 (2*Bl) (24/96)		шт	65.00	7.000	455.00	
Батарейка KОСМОС R 6 б/б (4S) (60/600) 5396		шт	10.00	2.000	20.00	
Батарейка KОСМОС R14 б/б (2S) (24/288) 1415		шт	15.00	13.000	195.00	
Батарейка KОСМОС R20 б/б (2S) (24/288) 0419		шт	25.00	15.000	375.00	
Батарейка Maxell G10 ( LR 1130,389)		шт	20.00	16.000	320.00	
Батарейка Maxell G3( LR 41,736)		шт	20.00	1.000	20.00	
Батарейка Maxell SR616 SW(321)		шт	45.00	9.000	405.00	
Батарейка Panasonic 1632 (5*Bl, 3V)		шт	55.00	18.000	990.00	
Батарейка Panasonic Alkaline Power LR 3 (2*Вl) (24/120)		шт	25.00	1.000	25.00	
Батарейка Panasonic Alkaline Power LR 3 (3+1*Вl) (48/240)		шт	25.00	32.000	800.00	
Батарейка Panasonic Alkaline Power LR 6 (3+1*Вl) (48/240)		шт	25.00	44.000	1'100.00	
Батарейка Panasonic Everyday LR 6 (4*Вl) (48/240) 12580		шт	30.00	1.000	30.00	
Батарейка Panasonic Pro Power LR 3 (4*Bl) Gold (48/240) 19117		шт	38.00	1.000	38.00	
Батарейка Panasonic Pro Power LR 6 (4*Вl) Gold (48/240) 11810		шт	38.00	1.000	38.00	
Батарейка Panasonic R14 б/б (2S) Purpose (2/24/480) 0257		шт	20.00	22.000	440.00	
Батарейка Panasonic R20 б/б (2S) Purpose (24/288) 0278		шт	27.00	1.000	27.00	
Батарейка Panasonic R20 б/б (2S) Purpose (24/288) 0278		шт	29.00	3.000	87.00	
Батарейка Renata SR920  SW(371,G4)		шт	45.00	9.000	405.00	
Батарейка Samsung 23 A 12V (5*Bl) Pleomax (5/125) 0060		шт	23.00	1.000	23.00	
Батарейка Samsung 23 A 12V (5*Bl) Pleomax (5/125) 0060		шт	25.00	9.000	225.00	
Батарейка Samsung 27 A (5*Bl) Pleomax 12V (5/125/1000) 3656		шт	25.00	7.000	175.00	
Батарейка Samsung LR 3 (4*Bl) Pleomax (40/400) 0868		шт	20.00	7.000	140.00	
Батарейка Samsung R14 б/б (2S) Pleomax (24/192)		шт	15.00	13.000	195.00	
Батарейка Samsung R20 (2*Bl) Pleomax (20/80)		шт	29.00	6.000	174.00	
Батарейка Sanyo R 3 б/б (2S) (40/400/1600)		шт	9.00	2.000	18.00	
Батарейка Sony LR 6 (8*Bl) Stamina Plus (80/240)		шт	15.00	1.000	15.00	
Батарейка Sony LR20 (2*Bl) Stamina Plus (20/60)		шт	80.00	2.000	160.00	
Батарейка Эра LR 3 (2*Bl) (60/480)		шт	16.00	1.000	16.00	
Батарейки KОСМОС  LR 3 (4*Bl) Rockets Premium (48/576)		шт	22.00	2.000	44.00	
Беспроводной звонок Uniel UDB-002W-R1T1-32S-100M-BL (10)		шт	560.00	1.000	560.00	
Беспроводной звонок ЭРА С72 (25 мелодий, 100м) (10)		шт	470.00	1.000	470.00	
Беспроводной звонок ЭРА С81 (25 мелодий, 100м) (10)		шт	440.00	1.000	440.00	
Бокс 2-4 автомата GE (124*125*57мм, IP 30) (35) 14638		шт	30.00	1.000	30.00	
Бокс EKF ЩРН-П-8 IP40 (30) 18668		шт	260.00	1.000	260.00	
Брелок-лазер 117-3 (1LED+УФ)/ Брелок-лазер 117-2 с карабином (2-LED)		шт	55.00	3.000	165.00	
Брелок-лазер К8 (1LED+лазер, 3*G3) (1000/1200)		шт	30.00	1.000	30.00	
Весы карманные электронные от 0,01до 200гр.REXANT		шт	20.00	5.000	100.00	
Весы электронные кухонные ERGOLUX ELX-SK02-C01 5кг 195*142мм		шт	70.00	7.000	490.00	
Вешалка 52-54 верх од (Москва) ПБ437/с12023бп		шт	33.00	7.000	231.00	
Вешалка 52-54 верх од (Москва) ПБ437/с12023бп		шт	37.00	1.000	37.00	
Вилка El-Bi белая с/з прямая (50/300) 24558		шт	42.00	2.000	84.00	
Вилка Универсал прямая с/з 16А каучук		шт	14.00	1.000	14.00	
Вилка Универсал прямая с/з 16А каучук		шт	15.00	3.000	45.00	
Вилка универсальная плоская белая (АБС) Витебск кембрик (300)		шт	21.00	5.000	105.00	
Выключатель EL-Bi NEO 1кл. белый (20/120) 513-000200-200		шт	45.00	3.000	135.00	
Выключатель EL-Bi NEO 1кл. белый подсветка (20/120) 513-000200-201		шт	85.00	6.000	510.00	
Выключатель EL-Bi NEO 2кл. белый подсветка (20/120) 513-000200-203		шт	90.00	6.000	540.00	
Выключатель EL-Bi NEO 2кл. белый подсветка (20/120) 513-000200-203		шт	100.00	6.000	600.00	
Выключатель EL-Bi ZIRVE 1кл. белый (10/60) 9125		шт	75.00	1.000	75.00	
Выключатель EL-Bi ZIRVE 1кл. белый (10/60) 9125		шт	80.00	11.000	880.00	
Выключатель EL-Bi ZIRVE 1кл. крем подсветка (10)		шт	120.00	10.000	1'200.00	
Выключатель EL-Bi ZIRVE 2кл. белый (10/60) 6888		шт	95.00	3.000	285.00	
Выключатель EL-Bi ZIRVE 2кл. белый (10/60) 6888		шт	100.00	10.000	1'000.00	
Выключатель EL-Bi ZIRVE 2кл. крем (10)		шт	100.00	8.000	800.00	
Выключатель EL-Bi ZIRVE 2кл. крем подсветка (10)		шт	150.00	10.000	1'500.00	
Выключатель EL-Bi ZIRVE 3кл. белый (10)		шт	80.00	8.000	640.00	
Выключатель Бриллиант 2кл. белый (10) 31784		шт	85.00	2.000	170.00	
Выключатель Валери 1кл. белый (10/200) 4910		шт	46.00	5.000	230.00	
Выключатель Олимп 2кл. белый (10/200) 10231		шт	45.00	2.000	90.00	
Выключатель Прима 1-СП белый подсветка (96) S16-053-B		шт	80.00	8.000	640.00	
Выключатель Прима 2-СП белый подсветка (96) S56-039-B		шт	90.00	3.000	270.00	
Выключатель Хит 2-ОП белый (168)		шт	50.00	3.000	150.00	
Выключатель Хит 2-СП белый (96)		шт	60.00	11.000	660.00	
Гирлянда Космос 80LED белый (9.5м, 8 режимов) (50) *(014403)		шт	240.00	1.000	240.00	
Гирлянда Космос 80LED зеленый (8.8м, 8 режимов)		шт	210.00	2.000	420.00	
Губка для тела Vitalux Акваспирит №3 (30) 0629		шт	20.00	1.000	20.00	
Двойник Toker  16A зазем, белый (40/160) 3853		шт	70.00	3.000	210.00	
Двойник Toker 2T (6-10A)  универсальный, белый (40/160) 3957		шт	60.00	5.000	300.00	
Делитель Rexant Silver 2TV 5-1000Mhz (10) (200)		шт	110.00	8.000	880.00	
Диммер Валери 500Вт белый (10)		шт	205.00	8.000	1'640.00	
Дихлофос НАПОВАЛ 200мл ./600мл. Антиклоп 75556 / 67475		шт	130.00	1.000	130.00	
Домовой  Комплект от комаров (жидкость+фумигатор) 60 ночей		шт	630.00	1.000	630.00	
Домовой гель от тараканов, муравьев шприц 15 гр (50)		шт	30.00	1.000	30.00	
Домовой гранулы от крыс, мышей 30г пакет (120)		шт	10.00	5.000	50.00	
Домовой зерно от крыс,мышей 40г.пакет		шт	10.00	11.000	110.00	
Домовой Ловушка от тараканов 6шт/уп (20) 25747		упак	110.00	2.000	220.00	
Донна Роза Перчатки резиновые  "М" (12/144)		шт	45.00	11.000	495.00	
Донна Роза Перчатки резиновые "L" (12/144)-(Бережливая хозяйка)		шт	40.00	21.000	840.00	
Донна Роза Перчатки резиновые "L" (12/144)-(Бережливая хозяйка)		шт	45.00	24.000	1'080.00	
Донна Роза Салфетка х/б д/пола 50*60 (69)		шт	35.00	11.000	385.00	
Дроссель Световые Решения УБИ 18-20Вт / ЭМПРА 36Вт		шт	105.00	9.000	945.00	
дуст *******************		шт	15.00	10.000	150.00	
дуст *******************		шт	35.00	4.000	140.00	
Дюбель-хомут 19-25 нейлон (белый по 100шт.) (50)		упак	100.00	2.000	200.00	
Занавес на окна Космос 200LED белый (2.5х1.1м, 8 режимов) (40) *(014519)		шт	830.00	1.000	830.00	
Зарядное устройство Kосмос КОС501 (120mA, 2*R3/R6,9V) (40)*(688763) 9780		шт	150.00	1.000	150.00	
Зарядное устройство Kосмос КОС501 (120mA, 2*R3/R6,9V) (40)*(688763) 9780		шт	160.00	1.000	160.00	
Зарядное устройство Kосмос КОС503 (+4*2500mAh,250mA) (40) KOC503(4x2500)		шт	810.00	2.000	1'620.00	
Зарядное устройство Kосмос КОС509 (200мА,4*R3/R6/R14/R20/6F22) (20)*(688787) KOC509		шт	515.00	1.000	515.00	
Изолента Safeline 15мм/10м  В АССОРТ,(10/250) 6729		шт	15.00	2.000	30.00	
Изолента Safeline 15мм/10м белая (10/250) 6727		шт	15.00	2.000	30.00	
Изолента Safeline 15мм/10м желто-зеленая (10/250)		шт	15.00	1.000	15.00	
Изолента Safeline 19мм/25м В АССОРТ,		шт	40.00	53.000	2'120.00	
Изолента Safeline Auto Master 19мм/5м 7цветов 7штук (1/40) 1923		упак	70.00	1.000	70.00	
Изолента ХБ (20мм* 8м, 80гр) (150) 19115		шт	22.00	3.000	66.00	
КАБЕЛЬ -КАНАЛ   2м белый   12*12мм		м	30.00	10.000	300.00	
Кабель-канал 40*25мм  1шт-2м.		шт	80.00	2.000	160.00	
КАПКАН клей от грызунов в тюбике 135гр (60) 19125		шт	80.00	3.000	240.00	
КАПКАН липкая лента от мух с мёдом (100/1000) 19028		шт	10.00	10.000	100.00	
Клей Kонтакт эпоксид пластилин "водостойкий" 50гр (18/216) *(012427) 3058		шт	135.00	1.000	135.00	
Клей Монолит Суперклей 3гр. (12*Bl) (288) 2999		шт	10.00	4.000	40.00	
Клей Секунда столярный клей 60мл (1*Bl) (12/144) 2985		шт	40.00	4.000	160.00	
Кнопка для звонка (12/600)		шт	15.00	4.000	60.00	
Кнопка для звонка БТ "Минск" /Витебск		шт	35.00	4.000	140.00	
Колодка EL-BI Deniz 2гн с/з (40)		шт	110.00	10.000	1'100.00	
Колодка Makel 3гн б/з (20/80) 12417		шт	105.00	1.000	105.00	
Колодка клеммная  5А TDM 0,75-4мм2 (10/500)		шт	20.00	20.000	400.00	
Колодка клеммная 3А (10)		шт	15.00	20.000	300.00	
Колодка клеммная 60А TDM 2,5-16мм2 (10/100) 20671		шт	80.00	21.000	1'680.00	
Колодка Универсал 2гн б/з 10А (100) *(563303)		шт	65.00	4.000	260.00	
Колодка Универсал 2гн с/з 16А каучук		шт	45.00	4.000	180.00	
Колодка Универсал 3гн б/з 10А (100)*(563211)		шт	80.00	7.000	560.00	
Колодка Универсал 3гн с/з 16А (100)		шт	100.00	3.000	300.00	
Колодка Универсал 3гн с/з 16А (100)		шт	105.00	2.000	210.00	
Колодка Универсал 3гн с/з 16А (100)		шт	110.00	4.000	440.00	
Колодка Универсал 3гн с/з 16А каучук КОМПАКТ		шт	45.00	4.000	180.00	
Колодка Универсал 3гн с/з выкл. 16А (100) *(563265) 13489		шт	140.00	4.000	560.00	
Колодка Универсал 4гн б/з 10А (100) *(563259)		шт	100.00	4.000	400.00	
Колодка Универсал 4гн с/з 16А (100) *(563266) 13816		шт	120.00	2.000	240.00	
Колодка Универсал 4гн с/з выкл. 16А (100) 4323		шт	150.00	2.000	300.00	
Коробка GE d75*40 IP44, 4 ввода (60)		шт	25.00	10.000	250.00	
Коробка GE d80*40 с крышкой (175)		шт	15.00	5.000	75.00	
Коробка ОП 3-х рожк. карболит IP44 D72 (100/200)		шт	26.00	9.000	234.00	
Коробка ОП 4-х рожк. карболит IP44 D72 (200)		шт	30.00	8.000	240.00	
Кротоотпугиватель Космос KR101 (зеленый, 4*R20) (40) 0110		шт	300.00	6.000	1'800.00	
Кротоотпугиватель Космос KR102 (аккум, солнеч. батарея) (12)		шт	675.00	1.000	675.00	
Лампа Camelion FPL 11W 2G7 (6400) (20) 23265		шт	77.00	2.000	154.00	
Лампа Camelion FS-T2-M 11W E27 (842) (25) 23123		шт	135.00	1.000	135.00	
Лампа Camelion FS-T2-M 11W E27 (842) (5/25)		шт	135.00	5.000	675.00	
Лампа Camelion FS-T2-M 13W E14 (842) (5/25)		шт	140.00	4.000	560.00	
Лампа Camelion FS-T2-M 15W E14 (842) (25) 23300		шт	140.00	1.000	140.00	
Лампа Camelion FS-T2-M 15W E27 (842) (5/25)		шт	140.00	1.000	140.00	
Лампа Camelion FS-T2-M 20W E27 (842) (25) 18951		шт	155.00	1.000	155.00	
Лампа Camelion FS-T2-M 9W E14 (842) (25) 23120		шт	135.00	1.000	135.00	
Лампа Camelion FS-T2-М 26W E27 (827) (25) 23128		шт	175.00	2.000	350.00	
Лампа Camelion LH 11-U/842/G23 (50)		шт	85.00	1.000	85.00	
Лампа Camelion LH 9-U/842/G23 (50) 1736		шт	75.00	10.000	750.00	
Лампа Camelion LH11-U/842/G23 (50)		шт	85.00	3.000	255.00	
Лампа Camelion LH30-AS-M 30W E27 (827) (25) 11261		шт	200.00	1.000	200.00	
Лампа Camelion LH30-AS-M 30W E27 (842) (25) 11262		шт	200.00	1.000	200.00	
Лампа Ergolux LED-A60-17W-E27-3K 1480Лм		шт	41.00	6.000	246.00	
Лампа Ergolux LED-A60-17W-E27-4K 1540Лм		шт	50.00	11.000	550.00	
Лампа Ergolux LED-C35-11W-E14-3K 905Лм		шт	35.00	16.000	560.00	
Лампа Ergolux LED-C35-11W-E14-4K 915Лм		шт	45.00	18.000	810.00	
Лампа Ergolux LED-C35-11W-E27-3K 905Лм		шт	40.00	2.000	80.00	
Лампа Ergolux LED-C35-11W-E27-3K 905Лм		шт	45.00	9.000	405.00	
Лампа General Electric R50 60W E14 (50) 1412		шт	35.00	18.000	630.00	
Лампа General Electric R80 75W E27 (10)		шт	60.00	1.000	60.00	
Лампа Kосмос G45 9W E14(4200) шарик (100) Акция!!! 28435		шт	90.00	2.000	180.00	
Лампа Kосмос G45 9W E27(2700) шарик (100) Акция!!! 28436		шт	90.00	1.000	90.00	
Лампа Kосмос G45 9W E27(4200) шарик (100) Акция!!! 28437		шт	90.00	2.000	180.00	
Лампа Kосмос J 117m 150W R7s (50) LKsmJ117230V150W		шт	27.00	8.000	216.00	
Лампа Kосмос J 117m 150W R7s (50) LKsmJ117230V150W		шт	35.00	6.000	210.00	
Лампа Kосмос J 117m 300W R7s (50) LKsmJ117230V300W		шт	27.00	4.000	108.00	
