							
							
							
Остатки ТМЦ на складах							
На дату: 18.03.20							
По всем фирмам. По всем юр. лицам. По всем упр. аналитикам. По всем номенклатурным позициям. По всем складам.							
ТМЦ		Ед.	"Отпускная цена
(руб.)"	МР МАГАЗИН		ПП99 Магазин	
				Кол - во	Сумма	Кол - во	Сумма
Салатник 240мл "Сирень" 1/20 2с0133/3		шт	40.00	 	 	19.000	760.00
Сахарница Лимоны 0020б1/24		шт	130.00	 	 	1.000	130.00
Сахарница Маки 1624		шт	130.00	 	 	1.000	130.00
Ч\П Алые розы 0033/12в		шт	155.00	 	 	6.000	930.00
Ч\П. 220мл 7795-12		шт	100.00	 	 	6.000	600.00
Чайная пара 250мл.Космея жел. 1/24 10б3д		шт	250.00	 	 	2.000	500.00
Чайная пара 250мл.Космея син. 1/24 10б3б		шт	250.00	 	 	2.000	500.00
Чайник оцй-102		шт	420.00	 	 	1.000	420.00
Чайник 1350мл Букет роз		шт	270.00	 	 	1.000	270.00
Чайник 1350мл Лимоны 0020а1.8		шт	270.00	 	 	1.000	270.00
Чайник завар.+сахарница 300мл, Цитрусы дфс00323-01900		шт	330.00	 	 	1.000	330.00
Чайник заварочный 0,8л Букет в4972		шт	430.00	 	 	1.000	430.00
Чайник заварочный 0,8л Маки в4974		шт	420.00	 	 	1.000	420.00
Чайник заварочный 850мл, Цитрусы дфс00541-01900		шт	330.00	 	 	2.000	660.00
Чайник сферич. 3л.салатный 1/10 42715/123сал		шт	 	 	 	1.000	 
Чайник эмаль 3л со свистком Сиреневый цветок пл/руч аб14-3		шт	 	 	 	1.000	 
Чайник эмаль 4л Герберы керам/руч а052-4		шт	1'180.00	 	 	1.000	1'180.00
Чайник эмаль 5л Лето керам/руч а209-5		шт	 	 	 	1.000	 
Чайник1200мл Маки 001а8		шт	250.00	 	 	1.000	250.00
Чайные пары Желтая роза 0034/12в1		шт	155.00	 	 	6.000	930.00
Чайный набор 12пр. "Сердце"  220мл т161-129		шт	651.00	 	 	1.000	651.00
Чашка "Гламур" (Лондон) 1/40 03с1337л		шт	55.00	 	 	35.000	1'925.00
Cетевой фильтр Эра SF 5гн 2м белый		шт	410.00	 	 	5.000	2'050.00
Cетевой фильтр Эра SF 5гн 4м белый		шт	500.00	 	 	5.000	2'500.00
