							
							
							
Остатки ТМЦ на складах							
На дату: 18.03.20							
По всем фирмам. По всем юр. лицам. По всем упр. аналитикам. По всем номенклатурным позициям. По всем складам.							
ТМЦ		Ед.	"Отпускная цена
(руб.)"	МР МАГАЗИН		ПП99 Магазин	
				Кол - во	Сумма	Кол - во	Сумма
Альтернатива М1180 (2), ш.к. 46 М1180		шт	288.00	 	 	1.000	288.00
Н-р банок д/сып. продуктов 4шт. "Экзотика" (0,5л,1,5л,2,5л,4л)
Альтернатива М627 117169		шт	480.00	 	 	2.000	960.00
Н-р банок д/сып. продуктов керам. 2шт "Пион" +ложки Енса
L1581329 (2), ш.к. 460690045 L1581329		шт	326.00	 	 	1.000	326.00
Н-р банок д/сып. продуктов керам. 3шт. "Пион" лист Енса
L1581324 (2), ш.к. 4606900452 L1581324		шт	334.00	 	 	1.000	334.00
Н-р бокалов д/бренди 3шт. 190мл "Gourmet" Royal Leerdam
ГЛ553819/190 (3), ш.к. 871096 ГЛ553819/19
0		шт	470.00	 	 	1.000	470.00
Н-р бокалов д/бренди 3шт. 190мл "Gourmet" Royal Leerdam
ГЛ553819/190 (3), ш.к. 871096 ГЛ553819/19
0		шт	480.00	 	 	1.000	480.00
Н-р бокалов д/вина 3шт. 330мл "Gourmet" Royal Leerdam
Гл553130 (3), ш.к. 460610014591 Гл553130		шт	483.00	 	 	2.000	966.00
Н-р бокалов д/коньяка 2шт. 800мл "Gourmet" Royal Leerdam
Гл553239 (3), ш.к. 460610018 Гл553239		шт	490.00	 	 	2.000	980.00
Н-р губок д/посуды 10шт. "Макси" 95х65х30мм поролон Рыжий кот 310221 137928		шт	50.00	 	 	1.000	50.00
Н-р д/специй "Богема" Альтернатива М769 125106		шт	135.00	 	 	2.000	270.00
Н-р д/специй 4пр. "Пион" на керам. подставке Енса L1581328
(2), ш.к. 4606900452794 L1581328		шт	345.00	 	 	1.000	345.00
Н-р дорожный Martika С16 76136		шт	120.00	 	 	5.000	600.00
Н-р кастрюль "Палитра" (2+3+4,5л) грушевидн. низк. эмалир. СТЭМ
г.Лысьва 129АП2/3плтр 169552		шт	2'650.00	 	 	1.000	2'650.00
Н-р мисок 3шт Полимербыт С380 13990		шт	145.00	 	 	2.000	290.00
Н-р подарочный Relax (2 бокала 0,3л+6 стопок) "Охота"
ДекорСтайлГласс ДСГ421 охота (3 ДСГ421
охота		шт	350.00	 	 	1.000	350.00
Н-р подарочный Relax (2 кружки 0,5л+6 стопок) "Охота"
ДекорСтайлГласс 43 охота (3), ш 43 охота		шт	424.00	 	 	1.000	424.00
Н-р подарочный Relax (2 кружки 0,5л+6 стопок) "Футбол
ДекорСтайлГласс ДСГ44128 (3), ш ДСГ44128		шт	430.00	 	 	1.000	430.00
Н-р салатников стекло 2шт. d=20см "Шеф. Черная
смородина" Pasabahce 53573/91*2 (3), ш 53573/91*2		шт	420.00	 	 	1.000	420.00
Н-р салатников стекло 6шт. d=12см "Шеф Черная
смородина" Pasabahce 53543/91*6 (3), ш. 53543/91*6		шт	477.00	 	 	1.000	477.00
Н-р салатников стекло 6шт. d=13см "Инвитейшн Клубника"
Pasabahce 10341/91*6 (3), ш.к. 10341/91*6		шт	525.00	 	 	1.000	525.00
Н-р салфеток д/авто 3шт. вискозные Svip SV3767 131024		шт	31.00	 	 	3.000	93.00
Н-р салфеток д/уборки 5шт. 35х35см "Домова" вискозные YORK 2002 18119		шт	60.00	 	 	3.000	180.00
Н-р фужеров д/шампанского 3шт. 190мл "Styie" Royal
Leerdam Гл678772 (3), ш.к. 4606100 Гл678772		шт	465.00	 	 	1.000	465.00
Насадка д/швабры МОП №5 Альтернатива М1037 161806		шт	70.00	 	 	2.000	140.00
Ножницы 14см ручки с резин. встав. титановые лезвия е/п Attomex 4091304		шт	45.00	 	 	11.000	495.00
Ножницы 18см "Universal" Berlingo S7006 S7006		шт	40.00	 	 	8.000	320.00
Ножницы 18см офисн. inFormat SO1803		шт	40.00	 	 	8.000	320.00
Ножницы 19см "Standard" E.Krause 21881 100758		шт	50.00	 	 	10.000	500.00
Окномойка +черенок телескопический 150см серебро Svip SV3077СБ 77063		шт	230.00	 	 	1.000	230.00
Опрыскиватель 0,5л "Грация" Альтернатива М439 (2), ш.к.
4607084478655 М439		шт	65.00	 	 	1.000	65.00
Опрыскиватель 0,7л "Лотос" Альтернатива М294 117065		шт	85.00	 	 	3.000	255.00
Опрыскиватель 1л IDEA М2142 51346		шт	85.00	 	 	3.000	255.00
Опрыскиватель 1л зеленый inGreen ING51010FЗЛП 126661		шт	75.00	 	 	5.000	375.00
Пакет фасовочный 24х37см 10мкн 100шт. в РР упак (АДМ) Komfi PFR122C 75150		шт	55.00	 	 	1.000	55.00
Пакеты д/запекания 30х40см 5шт. Komfi BSP113P 189902		шт	65.00	 	 	5.000	325.00
Пароварка д/СВЧ 3л "Маджико" Martika С416 183512		шт	200.00	 	 	2.000	400.00
Поднос пластик "Изобилие"d=30см Альтернатива М706 116933		шт	140.00	 	 	2.000	280.00
Поднос пластик "Изобилие"d=35см белый Альтернатива М989 152330		шт	185.00	 	 	2.000	370.00
Поднос пластик "Изобилие"d=35см черный Альтернатива М990 152331		шт	185.00	 	 	2.000	370.00
Поднос пластик 42х27см с декором Бытпласт С12828 194760		шт	165.00	 	 	2.000	330.00
Подставка д/стол. приборов "Элегия" Альтернатива М923 141484		шт	99.00	 	 	2.000	198.00
Подставка п/ложку "Эконова" Бытпласт С12557		шт	30.00	 	 	1.000	30.00
Полка д/ванной навесная Полимербыт С168 (2), ш.к.
4601532106367 С168		шт	90.00	 	 	1.000	90.00
Полка д/ванной угловая Полимербыт С908 (2), ш.к.
4601532104844 С908		шт	166.00	 	 	1.000	166.00
Решетка д/раковины квадратная 30х30см IDEA М1151 (2),
ш.к. 4605196003857 М1151		шт	40.00	 	 	6.000	240.00
Решетка д/раковины Полимербыт С214 (1), ш.к.
4601532073966 С214		шт	34.00	 	 	7.000	238.00
Салатник 1,4л "Камелия" белый Альтернатива М1709 194306		шт	115.00	 	 	3.000	345.00
Салатник 1,4л "Камелия" зеленый Альтернатива М1937 195442		шт	115.00	 	 	2.000	230.00
Салатник 1,5л "Хозяюшка" с крышкой Альтернатива М505 117129		шт	100.00	 	 	2.000	200.00
Салатник 3л "Шарлотта" Альтернатива М2166 200890		шт	140.00	 	 	1.000	140.00
Салфетка д/уборки 30х30см микрофибра М-02 супервпитыв. ассорти
Рыжий кот 310203/31022 137920		шт	30.00	 	 	1.000	30.00
Сахарница "Вишенка" Сумской ф-р 4в262 (3), ш.к.
4820121932174 4в262		шт	150.00	 	 	1.000	150.00
Сахарница d=10см "Конья" с крышкой под. упаковка Pasabahce 97590 51473		шт	75.00	 	 	1.000	75.00
Сиденье д/ванной белое Альтернатива М1552 182590		шт	420.00	 	 	1.000	420.00
Сменный блок д/ролика (2шт в уп) 50листов LRB-50 Рыжий кот 092409 201376		шт	71.00	 	 	4.000	284.00
Соковыжималка д/цитрусовых Бытпласт С12185 (2), ш.к.
4607016811598 С12185		шт	94.00	 	 	2.000	188.00
Солонка навесная "Земляника" Енса 2520201 (2), ш.к.
4606900634367 2520201		шт	140.00	 	 	1.000	140.00
Солонка навесная "Нарцисс" Енса L2520309 (3), ш.к.
4606900695474 L2520309		шт	150.00	 	 	1.000	150.00
Сушилка д/столовых приборов 2-х секц. желтая IDEA М1165жел 179120		шт	55.00	 	 	1.000	55.00
Сушилка д/столовых приборов 2-х секц. мрамор IDEA М1165мр 179122		шт	55.00	 	 	2.000	110.00
Сушилка д/столовых приборов 3-х секц. лимон Plastic Center ПЦ1555ЛМН 193597		шт	75.00	 	 	2.000	150.00
Сушилка д/столовых приборов 3-х секц. мраморная Plastic Center ПЦ1555МР 18555		шт	75.00	 	 	1.000	75.00
Табурет -подставка "Принцессы", "Феи" Полимербыт С41555 181805		шт	450.00	 	 	1.000	450.00
Табурет -подставка Альтернатива М1227 М1227		шт	280.00	 	 	2.000	560.00
Таз 6л "Хозяюшка" с крышкой Альтернатива М1279 176273		шт	130.00	 	 	1.000	130.00
Тарелка десертная d=17,5см "Мак" Кубаньфарфор 057 гр. 8
(0), ш.к. 057 гр. 8		шт	40.00	 	 	3.000	120.00
Тарелка десертная d=19 см "Земляничная поляна" Свежий
ветер SK_1/ZC160 (2), ш.к. 1017 SK_1/ZC160		шт	40.00	 	 	3.000	120.00
Тарелка суповая d=20см "Весенний букет" Кубаньфарфор
055 (0), ш.к. 55		шт	50.00	 	 	5.000	250.00
Тарелка суповая d=20см "Тюльпаны 2" Кубаньфарфор 055
(0), ш.к. 55		шт	50.00	 	 	1.000	50.00
Термокружка 400мл "Родня" с крышкой Martika С547К (3), ш.к.
4607049783794 С547К		шт	54.00	 	 	4.000	216.00
Термокружка 400мл "Цветы" Martika С549 (2), ш.к.
4607049783824 С549		шт	52.00	 	 	3.000	156.00
Фольга алюминевая 10м в рулоне "YORK"/9015 YORK 9015 82723		шт	80.00	 	 	2.000	160.00
Хлебница средняя коричневая Plastic Center ПЦ1670кч 55982		шт	430.00	 	 	1.000	430.00
Хлебница средняя лимон Plastic Center ПЦ1670ЛМН 195106		шт	430.00	 	 	1.000	430.00
Чайник 2л эмаль с декором СТЭМ г.Лысьва С2710П2/4 (0),
ш.к. 4602807789100 С2710П2/4		шт	553.00	 	 	1.000	553.00
Чайник 2л эмаль СТЭМ г.Лысьва С2710П2 (3), ш.к.
4602807789094 С2710П2		шт	580.00	 	 	1.000	580.00
Чайник завар. керам. 950мл "Бабочки" (со стразами) Енса
L2430349 (2), ш.к. 4606900694 L2430349		шт	305.00	 	 	1.000	305.00
Черенок д/щетки 120см металл Svip SV3062 SV3062		шт	155.00	 	 	1.000	155.00
Черенок д/щетки универсальный 110см серый IDEA М5144сер 185162		шт	50.00	 	 	3.000	150.00
Швабра веревочная с отжимом "Цветы на зеленом" 130см
Moho MH-4MMA16FG (0), ш.к. 20009 MH-4MMA16F
G		шт	362.00	 	 	2.000	724.00
Щетка д/одежды "Утюжок Практик" бордовая Svip SV3858БРД 201991		шт	40.00	 	 	1.000	40.00
Щетка д/одежды классика "Утюжок Макси" голубая Svip SV3099ГЛП 113587		шт	60.00	 	 	2.000	120.00
Щетка д/посуды "Божьи коровки" Moho MH-1DTA27LB		шт	76.00	 	 	3.000	228.00
Щетка д/посуды "Божьи коровки" Moho MH-1DTA27LB 190868		шт	76.00	 	 	2.000	152.00
Щетка д/посуды "Поли" серебряная Svip SV3183СБ 140707		шт	30.00	 	 	3.000	90.00
Щетка д/посуды "Энни" серебряная Svip SV3216СБ 162200		шт	25.00	 	 	2.000	50.00
Щетка хозяйственная-техническая (жесткая) с ручкой Вишера 1с12 187878		шт	115.00	 	 	2.000	230.00
Этажерка 4-х ярусная "Грация" Бытпласт С12168 50204		шт	720.00	 	 	1.000	720.00
Этажерка угловая 3-х секц. "ЕВРО" на колесах мрамор IDEA М2756мр 24941		шт	350.00	 	 	1.000	350.00
Ящик д/игрушек 10л "Принцессы, Феи" Disney Полимербыт
С81055 (2), ш.к. 4601532810554 С81055		шт	432.00	 	 	1.000	432.00
Ящик д/игрушек 10л "Тачки" Disney Полимербыт С81077 (2),
ш.к. 4601532810776 С81077		шт	427.00	 	 	2.000	854.00
2327 рюмки в наборе, 7 предметов		шт	710.00	 	 	1.000	710.00
3702-J набор вилок, 7 предметов, 6 персон		шт	490.00	 	 	4.000	1'960.00
3737 набор для специй		шт	940.00	 	 	1.000	940.00
3738 набор для специй		шт	660.00	 	 	1.000	660.00
3807 ложка для салата		шт	290.00	 	 	2.000	580.00
3822 ложки в наборе, 7 предметов		шт	490.00	 	 	4.000	1'960.00
3894 сервировочный набор		шт	430.00	 	 	1.000	430.00
4109 салфетница		шт	330.00	 	 	2.000	660.00
4216 сахарница		шт	570.00	 	 	1.000	570.00
4561 подсвечник		шт	190.00	 	 	2.000	380.00
6819 сушилка для посуды		шт	490.00	 	 	1.000	490.00
7320 крючок двойной		шт	40.00	 	 	7.000	280.00
7423 мыльница		шт	90.00	 	 	7.000	630.00
7808 держатель для туалетной бумаги		шт	70.00	 	 	1.000	70.00
78102 держатель для туалетной бумаги		шт	120.00	 	 	4.000	480.00
78104 держатель для туалетной бумаги		шт	140.00	 	 	3.000	420.00
7812 ёршик для унитаза		шт	390.00	 	 	1.000	390.00
ATH-1723 Электроплитка одноконфорочная		шт	690.00	 	 	2.000	1'380.00
ATH-2301 электрический чайник		шт	620.00	 	 	2.000	1'240.00
ATH-2420 red электрический чайник металлический		шт	890.00	 	 	2.000	1'780.00
ATH-2531 электрический чайник металлический		шт	1'200.00	 	 	2.000	2'400.00
ATH-263WB электрический миксер с чашей		шт	895.00	 	 	1.000	895.00
ATH-263WB электрический миксер с чашей		шт	900.00	 	 	2.000	1'800.00
ATH-320 электрическая соковыжималка		шт	1'390.00	 	 	2.000	2'780.00
ATH-345 блендер		шт	1'330.00	 	 	1.000	1'330.00
ATH-345 блендер		шт	1'350.00	 	 	1.000	1'350.00
ATH-355 white-blue кухонный комбайн		шт	2'200.00	 	 	1.000	2'200.00
ATH-401 утюг без пара		шт	395.00	 	 	2.000	790.00
ATH-402 утюг с пароувлажнением		шт	530.00	 	 	4.000	2'120.00
ATH-410 утюг с пароувлажнением		шт	570.00	 	 	2.000	1'140.00
ATH-420 утюг с пароувлажнением		шт	595.00	 	 	2.000	1'190.00
ATH-430 утюг с пароувлажнением		шт	630.00	 	 	2.000	1'260.00
ATH-445 утюг с пароувлажнением		шт	680.00	 	 	1.000	680.00
ATH-482 утюг с пароувлажнением		шт	880.00	 	 	3.000	2'640.00
ATH-540 электрическая кофеварка		шт	990.00	 	 	1.000	990.00
ATH-544 кофеварка эспрессо		шт	3'700.00	 	 	1.000	3'700.00
